function,method,step size,iterations,ni,nj,error x1,error x2,error fvalue
f7,steepest,grippo_bisection_wolfe_weak,5000,15022,15021,3.02442e-08,0.00209279253790684,2.55109296748935e-05
f7,steepest,grippo_wolfe_strong,1510,76234,2,3.02442e-08,0,1.58063e-15
f7,steepest,grippo_bisection_goldstein,1566,6315,3131,3.02442e-08,1,1.58063e-15
f8,newton,none,20,20,40,6.99999999997925e-06,1.70000000000448e-05,1.13719e-10
f8,newton,backtracking_armijo,5000,254756,15000,0.744671209268125,0.85835079632731,0.571970007227856
f8,newton,wolfe_strong,3203,38030,3,6.99999999997925e-06,1.70000000000448e-05,1.13719e-10
f8,newton,bisection_wolfe_weak,5000,255769,260768,0.775276138921543,0.820599277205534,0.654647202982558
f8,newton,bisection_goldstein,5000,509905,15000,0.775276138921834,0.820599277206036,0.654647202982856
f8,newton,hanger_zhang_backtracking_armijo,22,46,65,6.99999999997925e-06,1.70000000000448e-05,1.13719e-10
f8,newton,hanger_zhang_bisection_wolfe_weak,5000,258955,263954,0.843304070256895,0.938240682390807,0.721844032454533
f8,newton,hanger_zhang_wolfe_strong,74,457,3,6.99999999997925e-06,1.70000000000448e-05,1.13719e-10
f8,newton,hanger_zhang_bisection_goldstein,5000,508891,15000,0.843304902801417,0.938241557861276,0.721845208848718
f8,newton,grippo_backtracking_armijo,21,43,62,6.99999999997925e-06,1.70000000000448e-05,1.13719e-10
f8,newton,grippo_bisection_wolfe_weak,40,122,162,6.99999999997925e-06,1.70000000002668e-05,1.13719e-10
f8,newton,grippo_wolfe_strong,74,457,3,6.99999999997925e-06,1.70000000000448e-05,1.13719e-10
f8,newton,grippo_bisection_goldstein,40,165,119,6.99999999997925e-06,1.70000000002668e-05,1.13719e-10
f8,steepest,none,5000,5001,5000,2.87560123195337,1.29213612397107,14.3013587751244
f8,steepest,backtracking_armijo,5000,17944,10000,6.99999904985038e-06,1.69999964657608e-05,1.13718999999998e-10
f8,steepest,wolfe_strong,5000,17923,1,6.99999931175199e-06,1.69999974108936e-05,1.13718999999999e-10
f8,steepest,bisection_wolfe_weak,5000,17923,1,inf,inf,inf
f8,steepest,bisection_goldstein,5000,17923,1,inf,inf,inf
f8,steepest,hanger_zhang_backtracking_armijo,5000,17884,10000,0.0482912325223648,0.0337730969944426,0.00837436667822777
f8,steepest,hanger_zhang_bisection_wolfe_weak,5000,17884,10000,inf,inf,inf
f8,steepest,hanger_zhang_wolfe_strong,5000,17903,4,6.99999937248119e-06,1.6999997437761e-05,1.13718999999999e-10
f8,steepest,hanger_zhang_bisection_goldstein,5000,17903,4,inf,inf,inf
f8,steepest,grippo_backtracking_armijo,5000,17928,10000,6.99999918407634e-06,1.69999972122747e-05,1.13718999999999e-10
f8,steepest,grippo_bisection_wolfe_weak,5000,19988,19987,6.99999944064889e-06,1.70000003533177e-05,1.13718999999999e-10
f8,steepest,grippo_wolfe_strong,5000,17903,4,6.99999937248119e-06,1.6999997437761e-05,1.13718999999999e-10
f8,steepest,grippo_bisection_goldstein,5000,17903,4,inf,inf,inf
