function,method,step size,iterations,ni,nj,error x1,error x2,error fvalue
f4,steepest,backtracking_armijo,10000,141116,20000,1.60489158962385e-07,3.19618530975063e-07,9.23947719647335e-14
f4,steepest,wolfe_strong,10000,104314,40000,0.000926578365314512,0.000932604648340551,0.000782525051468991
f4,steepest,bisection_wolfe_weak,10000,119777,119776,5.36317663613062e-08,1.07086639111742e-07,1.03334954085323e-14
f4,steepest,bisection_goldstein,10000,219093,20000,1.15100431408166e-08,2.29384566896584e-08,4.75355578754715e-16
f4,steepest,hanger_zhang_backtracking_armijo,10000,154191,20000,2.70533855718607,1.54195582411463,24.9680941531661
f4,steepest,hanger_zhang_bisection_wolfe_weak,10000,132274,132273,0.980115982983014,1.2331898248299,111.433463096156
f4,steepest,hanger_zhang_wolfe_strong,10000,117015,36460,3.57456450819275,4.20452965191378,312.030775922551
f4,steepest,hanger_zhang_bisection_goldstein,10000,227423,20000,0.0438330718170694,0.220852773192885,4.81368967947446
f4,steepest,grippo_backtracking_armijo,10000,142165,20000,8.78637316237274e-08,1.87446612009978e-07,4.3955362809528e-14
f4,steepest,grippo_bisection_wolfe_weak,10000,129440,129439,0.0166574525613263,0.0196102092023088,0.0187327175275742
f4,steepest,grippo_wolfe_strong,10000,129440,129439,inf,inf,inf
f4,steepest,grippo_bisection_goldstein,10000,216705,20000,3.84258532559745e-05,1.88220500199066e-05,9.22418772939313e-07
f5,newton,backtracking_armijo,10000,79969,30000,1.01428571428571,0.171428571428572,1.65
f5,newton,wolfe_strong,10000,119561,39793,1.01428571428578,0.171428571428598,1.65
f5,newton,bisection_wolfe_weak,10000,50042,60041,1.01428571428571,0.171428571428571,1.65
f5,newton,bisection_goldstein,10000,139981,30000,1.01428571428571,0.171428571428572,1.65
f5,newton,hanger_zhang_backtracking_armijo,10000,20001,30000,1.01428571428571,0.171428571428571,1.65
f5,newton,hanger_zhang_bisection_wolfe_weak,10000,30001,40000,1.01428571428571,0.171428571428571,1.65
f5,newton,hanger_zhang_wolfe_strong,10000,129418,2,1.01428571428571,0.171428571428571,1.65
f5,newton,hanger_zhang_bisection_goldstein,10000,1019633,30000,4.51428571428623,6.82857142857147,75.15
f5,newton,grippo_backtracking_armijo,10000,20001,30000,1.01428571428571,0.171428571428571,1.65
f5,newton,grippo_bisection_wolfe_weak,10000,30001,40000,1.01428571428571,0.171428571428571,1.65
f5,newton,grippo_wolfe_strong,10000,129418,2,1.01428571428571,0.171428571428571,1.65
f5,newton,grippo_bisection_goldstein,10000,67167,30000,260.014285700843,517.828571427466,5440.65
f5,steepest,backtracking_armijo,10000,85009,20000,1118.31884093627,2238.85137074744,23504.1384122488
f5,steepest,wolfe_strong,10000,60004,40000,936.346518752209,1874.90197701452,19682.4225159362
f5,steepest,bisection_wolfe_weak,10000,80004,80003,936.346518752209,1874.90197701452,19682.4225159362
f5,steepest,bisection_goldstein,10000,139985,20000,938.315268752209,1878.83947701452,19723.7662659362
f5,steepest,hanger_zhang_backtracking_armijo,10000,118164,20000,432.227995353021,865.173826667907,7702.89650002598
f5,steepest,hanger_zhang_bisection_wolfe_weak,10000,101788,101787,730.880207999046,1464.6630118699,15278.3926884163
f5,steepest,hanger_zhang_wolfe_strong,10000,84194,795,641.293566025465,1282.61246849704,13169.2186910354
f5,steepest,hanger_zhang_bisection_goldstein,10000,182075,20000,867.665098587123,1737.11071525588,18016.5988569882
f5,steepest,grippo_backtracking_armijo,10000,100995,20000,871.007553398523,1744.78027054338,18283.1611643678
f5,steepest,grippo_bisection_wolfe_weak,10000,92012,92011,1031.46594316026,2063.13038885528,21408.2612598726
f5,steepest,grippo_wolfe_strong,10000,74283,175,930.170710161746,1861.40197826686,19523.3249536604
f5,steepest,grippo_bisection_goldstein,10000,156085,20000,1214.80094005217,2429.62513078139,25232.1512499638
f6,newton,backtracking_armijo,10000,509519,30000,0.974757844750441,0.931771035955718,1.41545256375544
f6,newton,wolfe_strong,10000,119142,39653,3.33066907387547e-16,9.99200722162641e-16,1.10933564796705e-31
f6,newton,bisection_wolfe_weak,30,98,128,0,0,0
f6,newton,bisection_goldstein,30,145,89,0,0,0
f6,newton,hanger_zhang_backtracking_armijo,9,19,26,0,0,0
f6,newton,hanger_zhang_bisection_wolfe_weak,11,36,47,0,0,0
f6,newton,hanger_zhang_wolfe_strong,93,217,3,0,0,0
f6,newton,hanger_zhang_bisection_goldstein,11,45,32,0,0,0
